"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Navigation Menu","4","0","","0"
"0","","0","Footer Functionality","5","0","","0"
"0","","0","Menu Navigation","1","0","","0"
"0","","0","Search Functionality","1","0","","0"
"0","","0","Wishlist Functionality","1","0","","0"
"0","","0","Homepage Features","1","0","","0"
"0","","0","Shopping Cart","1","0","","0"
